dma_name,dma_id,term,week,score,rank,percent_gain,refresh_date
Macon GA,503,argentina vs peru,2019-12-29,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-01-17,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-08-27,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-01-24,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-04-09,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-02-11,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-01-26,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-11-01,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-11-15,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-10-24,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-09-22,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-03-28,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-01-23,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-02-05,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-07-23,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-08-04,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-10-20,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-09-29,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-12-06,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-02-06,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-02-26,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-07-09,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-03-29,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2021-11-07,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-11-20,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-04-30,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-05-26,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-04-24,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2022-08-07,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-06-02,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2020-05-31,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-06-11,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2024-07-21,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2019-12-01,,24,140,2024-11-22
Macon GA,503,argentina vs peru,2023-02-19,,24,140,2024-11-22
